CN201010143126.6,1,0.016666667,0,0,0.090909091,0.1,0,0.178571429,0.052631579,0.222222222,0.25,1,1,0.194444444,0,0.2,0,0,0,0,0,0.222222222,0.214285714,0.1,0.45,0,0.025830258,0.5,0,1,0.041666667,0,0,1
CN200980156062.9,1,0.060416667,0.083333333,0,0,0,0,0.071428571,0.105263158,0,0.25,1,1,0.194444444,0,0,0.070175439,0.19047619,1,1,1,0.222222222,0.357142857,0.3,0.4,1,0.084870849,0.5,0,1,0.166666667,0,0,1
CN200710176222.9,1,0.04375,0,0,0,0,0,0.178571429,0.263157895,0,0.2,1,1,0.305555556,0.333333333,0.4,0,0,0,0,0,0.222222222,0.357142857,0.3,0.6,0,0.033210332,0.5,0,1,0.041666667,0,0,1
CN200710122489.X,1,0.064583333,0,0,0,0,0,0.035714286,0.052631579,0,0,1,1,0.055555556,0.333333333,0.4,0,0,0,0,0,0.222222222,0.285714286,0.3,0.6,0,0.029520295,0.5,0,1,0.041666667,0,0,1
CN200810115478.3,1,0.014583333,0.010416667,0,0,0,0,0,0,0,0.25,1,1,0.055555556,0.333333333,0.4,0,0,0,0,0,0.222222222,0.285714286,0.2,0.3,0,0.036900369,0,0,1,0.083333333,0,0,1
CN200580048615.0,1,0.2875,0.364583333,0,0,0,0,0,0,0,0,1,1,0,0,0,0.131578947,0.30952381,1,1,1,0.222222222,0.571428571,0.6,0.6,1,0.335793358,0.5,0,0,0.083333333,0,0,1
CN200610088827.8,1,0.05,0.052083333,0,0,0,0,0,0,0,0.1,1,1,0.138888889,0.333333333,0.6,0,0,0,0,0,0.111111111,0.214285714,0.2,0.55,0,0.036900369,0,0,1,0.125,0,0,0.8
CN200580022391.6,1,0.26875,0.489583333,0,0,0,0,0.107142857,0.105263158,0.055555556,0,1,1,0,0,0,0.421052632,0.380952381,1,1,1,0.222222222,0.642857143,0.7,0.65,1,0.586715867,0.5,0,0,0.083333333,0,0,1
CN200510105797.2,1,0.054166667,0.041666667,0,0,0,0,0.178571429,0.263157895,0,0,1,1,0.083333333,0,0.2,0,0,0,0,0,0,0.142857143,0.2,0.7,0,0.014760148,0.5,0,1,0,0,0,0.6
CN200480011465.1,1,0.16875,0.239583333,0,0,0,0,0.035714286,0.052631579,0,0,1,1,0.055555556,0.333333333,0.2,0,0,1,1,1,0.222222222,0.285714286,0.3,0.75,1,0.147601476,0.5,0,1,0.375,0,0,1
